Business_name,latitude,longitude,category,lifeline_num,lifeline_name,Source
Memorial Hermann Greater Heights Hospital,29.8115414,-95.430426,emergencyrooms,3,Health and medical,Google
Preferred Urgent Care,29.7593485,-95.778137,urgent_care,3,Health and medical,Google
Prime Urgent Care,29.5615779,-95.3863889,urgent_care,3,Health and medical,Google
Medella Urgent Care,29.999806,-95.56326,urgent_care,3,Health and medical,Google
CareNow Urgent Care - Midtown,29.745503,-95.3763295,urgent_care,3,Health and medical,Google
AFC Urgent Care Vintage,29.9976313,-95.5761324,urgent_care,3,Health and medical,Google
CareNow Urgent Care - Fairmont,29.6502571,-95.1613769,urgent_care,3,Health and medical,Google
Urgent Doc,29.738059,-95.537837,urgent_care,3,Health and medical,Google
FastMed Urgent Care,29.9805042,-95.2143021,urgent_care,3,Health and medical,Google
CareNow Urgent Care - Friendswood,29.5081534,-95.1866743,urgent_care,3,Health and medical,Google
CareNow Urgent Care - Sugar Land,29.6026833,-95.6323642,urgent_care,3,Health and medical,Google
FastMed Urgent Care,30.0905397,-95.6344941,urgent_care,3,Health and medical,Google
Rapid Response Urgent Care,29.5785771,-95.4036371,urgent_care,3,Health and medical,Google
Crenshaw Urgent Care,29.6399557,-95.1649649,urgent_care,3,Health and medical,Google
Calvary Urgent Care,29.9784517,-95.2563143,urgent_care,3,Health and medical,Google
CareNow Urgent Care - Atascocita,29.9974267,-95.1707266,urgent_care,3,Health and medical,Google
AFC Urgent Care Richmond,29.6519062,-95.7035375,urgent_care,3,Health and medical,Google
CareNow Urgent Care - River Oaks,29.7527116,-95.4031586,urgent_care,3,Health and medical,Google
Everest Urgent Care,29.815411,-95.1412604,urgent_care,3,Health and medical,Google
NextCare Urgent Care,29.5545786,-95.2580988,urgent_care,3,Health and medical,Google
NextCare Urgent Care,29.5466905,-95.1024961,urgent_care,3,Health and medical,Google
Family First Cremation Services/ Funeral Home,30.074822,-95.4085493,cremationservices,3,Health and medical,Google
Smart Cremation,29.7465721,-95.4735061,cremationservices,3,Health and medical,Google
Miller Funeral & Cremation Services,29.6911957,-95.5231934,cremationservices,3,Health and medical,Google
Cremation-Online,30.0668155,-95.2266268,cremationservices,3,Health and medical,Google
Houston Pet Cremation Services,29.8992652,-95.4922103,cremationservices,3,Health and medical,Google
Advantage Funeral & Cremation Services,29.703512,-95.4787232,cremationservices,3,Health and medical,Google
Cremate Texas,29.7492239,-95.3972872,cremationservices,3,Health and medical,Google
Direct Cremation Texas - a Legends Funeral Service Company,29.6460282,-95.4446128,cremationservices,3,Health and medical,Google
Navarre Funeral Home & Cremation Services,29.8044515,-95.0284379,cremationservices,3,Health and medical,Google
Neptune Society,29.7364235,-95.4583692,cremationservices,3,Health and medical,Google
Cherished Pet Cremations,29.9659772,-95.5288267,cremationservices,3,Health and medical,Google
Crespo & Jirrels Funeral and Cremation Services,29.7911266,-94.9806535,cremationservices,3,Health and medical,Google
Kaninchen's Lot,29.7015702,-95.1722882,cremationservices,3,Health and medical,Google
Dignity,29.7724827,-95.7791149,cremationservices,3,Health and medical,Google
